1,Date,AM Rush,PM Rush
104,10/3/2018,1531,1041
105,10/3/2018,4377,3712
135,10/3/2018,0,0
136,10/3/2018,1872,861
138,10/3/2018,489,346
143,10/3/2018,609,1254
144,10/3/2018,1239,1385
2192,10/3/2018,0,0
2193,10/3/2018,3169,2831
2196,10/3/2018,3015,5616
2197,10/3/2018,1801,2361
2228,10/3/2018,4012,4046
2233,10/3/2018,1140,1341
2234,10/3/2018,890,462
2235,10/3/2018,1903,562
2245,10/3/2018,125,5
2821,10/3/2018,872,809
2825,10/3/2018,899,733
2829,10/3/2018,1320,1243
2833,10/3/2018,487,1028
2837,10/3/2018,1633,1612
2841,10/3/2018,1571,1856
2845,10/3/2018,1779,746
486,10/3/2018,2688,3312
737,10/3/2018,877,1255
738,10/3/2018,856,617
799,10/3/2018,2808,4111
862,10/3/2018,920,626
867,10/3/2018,1986,2866
96,10/3/2018,468,404
97,10/3/2018,0,0
98,10/3/2018,5214,4369
99,10/3/2018,2033,1618
S10,10/3/2018,11277,10192
S1148,10/3/2018,13231,10053
S13,10/3/2018,8888,4388
S14,10/3/2018,8415,7793
S15,10/3/2018,6678,5595
S17,10/3/2018,4446,5245
S1718,10/3/2018,0,0
S18,10/3/2018,4362,5060
S19,10/3/2018,7460,7808
S1943,10/3/2018,0,0
S2,10/3/2018,0,0
S20,10/3/2018,11537,7616
S21,10/3/2018,11514,7980
S23,10/3/2018,8216,3883
S24,10/3/2018,12310,7280
S3,10/3/2018,0,0
S4,10/3/2018,0,0
S5,10/3/2018,0,0
S559,10/3/2018,10594,9691
S560,10/3/2018,0,0
S570,10/3/2018,17160,8295
S576,10/3/2018,5906,10073
S577,10/3/2018,14018,18382
S578,10/3/2018,13047,17326
S579,10/3/2018,11542,15511
S580,10/3/2018,0,0
S582,10/3/2018,14641,19464
S583,10/3/2018,14690,20208
S584,10/3/2018,11173,11548
S585,10/3/2018,5641,7029
S6,10/3/2018,392,22
S618,10/3/2018,9510,10265
S685,10/3/2018,12115,19379
S686,10/3/2018,9114,15610
S691,10/3/2018,11142,19792
S692,10/3/2018,12001,20421
S693,10/3/2018,10637,19186
S695,10/3/2018,11896,19632
S697,10/3/2018,8926,12868
S7,10/3/2018,1,0
S8,10/3/2018,0,0
S9,10/3/2018,7,0
